Commit Hash,File Name,MI_Before,MI_After,MI_Change,CC_Before,CC_After,CC_Change,LOC_Before,LOC_After,LOC_Change,Semantic_Similarity,Token_Similarity,Semantic_class,Token_class,Classes_Agree
0dd9dc37b6618b8091c2a0f849f5f3143dc6eafc,CHANGES,,,,,,,,,,0.9997031688690186,0.9850865024063922,Minor,Minor,YES
0dd9dc37b6618b8091c2a0f849f5f3143dc6eafc,session.py,100.0,100.0,0.0,0.0,0.0,,19.0,19.0,0.0,0.9989306926727296,0.9545695715275292,Minor,Minor,YES
0e4cd2e6512c66ba004df0f35f3a21e8cfcdf77c,dbcon.rst,,,,,,,,,,0.9999881386756896,0.9966203102652104,Minor,Minor,YES
0e98a080976f39e20aa6f18e8a335aa23d9334f7,app.py,,,,,,,,,,1.0,0.9923102786064072,Minor,Minor,YES
0ecc686372f577ccbcbcb818e1386ceb7bd9391d,helpers.py,44.8104608357965,44.8104608357965,0.0,63.0,63.0,0.0,496.0,496.0,0.0,1.0,0.9993879673458436,Minor,Minor,YES
0fb2e4c84859d9d31fe2170df3f9d51e36a3f3c0,upgrading.rst,,,,,,,,,,1.0,0.99168009099655,Minor,Minor,YES
0fcbe0a47895a1d1106b50420fe696e04520b621,flask-07-upgrade.py,,,,,,,,,,0.9999545812606812,0.7952445418536439,Minor,Major,NO
0fccfe711fda524f216f82263bb83787a75035fd,CHANGES,,,,,,,,,,0.9998184442520142,0.9859907532098454,Minor,Minor,YES
0fccfe711fda524f216f82263bb83787a75035fd,__init__.py,100.0,100.0,0.0,0.0,0.0,,38.0,37.0,-1.0,0.9999554753303528,0.9757865421249704,Minor,Minor,YES
0fccfe711fda524f216f82263bb83787a75035fd,api.rst,,,,,,,,,,0.9999998807907104,0.9712772641862064,Minor,Minor,YES
0fccfe711fda524f216f82263bb83787a75035fd,app.py,,,,,,,,,,0.9999790787696838,0.9842910234582392,Minor,Minor,YES
0fccfe711fda524f216f82263bb83787a75035fd,ctx.py,,,,,,,,,,0.9999998807907104,0.9914741885483458,Minor,Minor,YES
0fccfe711fda524f216f82263bb83787a75035fd,session.py,100.0,100.0,0.0,7.0,0.0,,43.0,19.0,-24.0,0.9464170932769777,0.0959262351412039,Minor,Major,NO
0ff7fe2a378d89308e3e6b2740ac1469157fa088,views.rst,,,,,,,,,,1.0000001192092896,0.9778529371220251,Minor,Minor,YES
100776147a063dcf53f74678b045ac0f5d6386d4,dbinit.rst,,,,,,,,,,1.0000001192092896,0.9250201157902084,Minor,Minor,YES
10104e98cf89b1e57f8359b0209307fefaee2ea1,flask-07-upgrade.py,,,,,,,,,,1.0,0.9939166703521658,Minor,Minor,YES
10c99e95e98844ba191e4767550b0dc19fa6d34c,sessions.py,,62.89635799606464,,,27.0,,,168.0,,,,Major,Major,YES
10f8dc18b8d43c2776c9381f681263778674bf0d,sessions.py,60.559068364108256,59.77051711919341,-0.7885512449148493,27.0,27.0,0.0,175.0,177.0,2.0,0.9997006058692932,0.9805706322352395,Minor,Minor,YES
115d31ddbfac0773794f115eada88a75d651a0f2,CHANGES,,,,,,,,,,0.9998524785041808,0.9719200173639452,Minor,Minor,YES
115d31ddbfac0773794f115eada88a75d651a0f2,app.py,,,,,,,,,,0.9999998807907104,0.9991701933138216,Minor,Minor,YES
115d31ddbfac0773794f115eada88a75d651a0f2,upgrading.rst,,,,,,,,,,0.9991784691810608,0.750742687527147,Minor,Major,NO
11c66be80e3e249c5f14dd9a23f49a073cd03903,flask_tests.py,,,,,,,,,,1.0,0.9939998978770822,Minor,Minor,YES
11c9bf29437ce847089703876cdec8cea68ca594,api.rst,,,,,,,,,,0.9999998807907104,0.9991845767327272,Minor,Minor,YES
1202996c634b23f82421753cb7c46a5ccdf7aca2,templating.py,80.5294480042946,82.26031954561769,1.730871541323097,19.0,16.0,-3.0,89.0,86.0,-3.0,0.9989674091339112,0.9317972123256772,Minor,Minor,YES
123a1ad019a842a07a84aace66fd7a33f6f68cb9,flashing.rst,,,,,,,,,,,,Major,Major,YES
123a1ad019a842a07a84aace66fd7a33f6f68cb9,index.rst,,,,,,,,,,,,Major,Major,YES
123a1ad019a842a07a84aace66fd7a33f6f68cb9,index.rst,,,,,,,,,,,,Major,Major,YES
123a1ad019a842a07a84aace66fd7a33f6f68cb9,packages.rst,,,,,,,,,,,,Major,Major,YES
123a1ad019a842a07a84aace66fd7a33f6f68cb9,patterns.rst,,,,,,,,,,,,Major,Major,YES
123a1ad019a842a07a84aace66fd7a33f6f68cb9,sqlalchemy.rst,,,,,,,,,,,,Major,Major,YES
123a1ad019a842a07a84aace66fd7a33f6f68cb9,sqlite3.rst,,,,,,,,,,,,Major,Major,YES
123a1ad019a842a07a84aace66fd7a33f6f68cb9,templateinheritance.rst,,,,,,,,,,,,Major,Major,YES
1246f4088a4fdc00a79f8029ff5d77bfe4fc9b14,flaskr.png,,,,,,,,,,,,Major,Major,YES
1246f4088a4fdc00a79f8029ff5d77bfe4fc9b14,flaskr.py,71.96268806077327,70.28534779104871,-1.6773402697245672,13.0,13.0,0.0,101.0,98.0,-3.0,0.9996302127838136,0.946158856530943,Minor,Minor,YES
1246f4088a4fdc00a79f8029ff5d77bfe4fc9b14,flasky.css_t,,,,,,,,,,0.9999998807907104,0.9568297995676924,Minor,Minor,YES
1246f4088a4fdc00a79f8029ff5d77bfe4fc9b14,index.rst,,,,,,,,,,0.9980676174163818,0.7861939172067052,Minor,Major,NO
1246f4088a4fdc00a79f8029ff5d77bfe4fc9b14,layout.html,,,,,,,,,,0.9999759793281556,0.986243767170452,Minor,Minor,YES
1246f4088a4fdc00a79f8029ff5d77bfe4fc9b14,login.html,,,,,,,,,,0.9999185800552368,0.9814444805292848,Minor,Minor,YES
1246f4088a4fdc00a79f8029ff5d77bfe4fc9b14,quickstart.rst,,,,,,,,,,1.0000001192092896,0.9810637799461762,Minor,Minor,YES
1246f4088a4fdc00a79f8029ff5d77bfe4fc9b14,style.css,,,,,,,,,,0.9997844696044922,0.9963745626844556,Minor,Minor,YES
1246f4088a4fdc00a79f8029ff5d77bfe4fc9b14,tutorial.rst,,,,,,,,,,,,Major,Major,YES
1264c458ae808d306aa03c51f70103e52dca107b,quickstart.rst,,,,,,,,,,1.0,0.978798404927156,Minor,Minor,YES
12761bd02ce8480c228008792861c8ce357d396a,api.rst,,,,,,,,,,0.9999999403953552,0.9988163532600676,Minor,Minor,YES
12761bd02ce8480c228008792861c8ce357d396a,errorpages.rst,,,,,,,,,,0.999974489212036,0.98454961016258,Minor,Minor,YES
12761bd02ce8480c228008792861c8ce357d396a,fileuploads.rst,,,,,,,,,,0.9999997615814208,0.9947152159945984,Minor,Minor,YES
12761bd02ce8480c228008792861c8ce357d396a,flashing.rst,,,,,,,,,,0.9999281167984008,0.9959157999707834,Minor,Minor,YES
12761bd02ce8480c228008792861c8ce357d396a,quickstart.rst,,,,,,,,,,1.0,0.9978252177936252,Minor,Minor,YES
12761bd02ce8480c228008792861c8ce357d396a,security.rst,,,,,,,,,,1.0,0.9977520331484088,Minor,Minor,YES
12761bd02ce8480c228008792861c8ce357d396a,viewdecorators.rst,,,,,,,,,,0.999908983707428,0.9972418402797012,Minor,Minor,YES
12761bd02ce8480c228008792861c8ce357d396a,views.rst,,,,,,,,,,0.999964475631714,0.9939504315973328,Minor,Minor,YES
12c2cb5e12895a0d16b37b7a9e9a96d69a34c36e,flask.py,,,,,,,,,,0.9999998807907104,0.9998019919576904,Minor,Minor,YES
12d74be7d7f62400663911d94783320bdfba86d4,run-tests.py,,47.5070419782975,,,28.0,,,57.0,,,,Major,Major,YES
13005d76b98979eeacb169765df3cc2a00b0bb4d,quickstart.rst,,,,,,,,,,1.0,0.967851258343892,Minor,Minor,YES
13090389365184fc2291e2cc69fb9b2af5426585,README,,,,,,,,,,0.99895441532135,0.7997413539489068,Minor,Major,NO
133920c83bf78db17631b637b8b2ffabcb26f3d4,installation.rst,,,,,,,,,,0.9999939799308776,0.998119944631408,Minor,Minor,YES
13cddba84f90d28899d1f0f7c2c9bcc901cee64c,README,,,,,,,,,,0.9995855689048768,0.9883579057291512,Minor,Minor,YES
1404a85bc554f96bff5463e6eadb14662b945f2e,wtforms.rst,,,,,,,,,,0.9997513294219972,0.9890405817223334,Minor,Minor,YES
140fc45ebd052ea07492c068e45d755d4b42c65c,flaskext_test.py,,,,,,,,,,0.9996570348739624,0.9933827921870872,Minor,Minor,YES
142c9c391be4ad182fb17d4190a19feea7b79246,api.rst,,,,,,,,,,0.9999998807907104,0.998817043609244,Minor,Minor,YES
1446614915b9ab4f75cbdfd79a80b71492b00276,app.py,,,,,,,,,,1.0,0.9842385823796272,Minor,Minor,YES
1446614915b9ab4f75cbdfd79a80b71492b00276,flask_tests.py,,,,,,,,,,0.9993146657943726,0.982873798808482,Minor,Minor,YES
14fde0779851866ee00a12b4353f1091d3999428,index.rst,,,,,,,,,,0.9997692704200744,0.8982036999923179,Minor,Major,NO
15012af70017962c2a22bc3fe670b9cc50782366,app.py,,,,,,,,,,0.9999002814292908,0.9845719213616244,Minor,Minor,YES
15012af70017962c2a22bc3fe670b9cc50782366,helpers.py,51.26595892223043,50.68978906565595,-0.5761698565744808,46.0,50.0,4.0,355.0,379.0,24.0,0.99992173910141,0.9439794641510642,Minor,Minor,YES
15012af70017962c2a22bc3fe670b9cc50782366,module.py,68.44807048128891,66.35004918441598,-2.098021296872929,18.0,20.0,2.0,163.0,189.0,26.0,0.99195659160614,0.857208336894151,Minor,Major,NO
15372661af2974577d5c1d15fdaf88452661c2a9,templating.py,69.7282420156261,71.16093186525566,1.4326898496295684,32.0,31.0,-1.0,138.0,136.0,-2.0,1.0000001192092896,0.969227089696506,Minor,Minor,YES
153d727d1f8396b5486dccb48c033e109cba93d6,api.rst,,,,,,,,,,0.9984568357467652,0.9979529552724946,Minor,Minor,YES
153ecbc9202f249c4037602115ed2c2b5785550d,CHANGES,,,,,,,,,,0.9992791414260864,0.9711955047250228,Minor,Minor,YES
153ecbc9202f249c4037602115ed2c2b5785550d,app.py,,,,,,,,,,0.9999436140060424,0.951458388748138,Minor,Minor,YES
153ecbc9202f249c4037602115ed2c2b5785550d,flask_tests.py,,,,,,,,,,1.0,0.9901272445375412,Minor,Minor,YES
1592c53a664c82d9badac81fa0104af226cce5a7,MANIFEST.in,,,,,,,,,,0.9985561370849608,0.8197386023881164,Minor,Major,NO
15ae22494df135b0e332aefb9abc43fb42a87d4c,quickstart.rst,,,,,,,,,,1.0000001192092896,0.998707667431093,Minor,Minor,YES
15c937b316b16b12df2375c706bcc93e3d37d33e,app.py,,,,,,,,,,1.0,0.992626935198854,Minor,Minor,YES
164067920ba7832e587a24725384789ab92bd55f,flask_tests.py,,,,,,,,,,0.9995525479316713,0.9959469190018774,Minor,Minor,YES
164067920ba7832e587a24725384789ab92bd55f,flaskr.py,70.28534779104871,70.28534779104871,0.0,13.0,13.0,0.0,98.0,98.0,0.0,0.9999096989631652,0.9911605796936188,Minor,Minor,YES
164067920ba7832e587a24725384789ab92bd55f,minitwit.py,48.4825109543349,48.4825109543349,0.0,44.0,44.0,0.0,248.0,248.0,0.0,0.9998047947883606,0.9971251987820788,Minor,Minor,YES
1643e5c39157e4f43d20b965c9967eeec8e90700,app.py,,,,,,,,,,0.9999998807907104,0.9996978395414898,Minor,Minor,YES
166f5ed254d829b2d87fca241e1a22b0a64fff1c,wtforms.rst,,,,,,,,,,0.9999381303787231,0.9801735306200337,Minor,Minor,YES
16b101edb6c10a984b0f2960feeeca5a458845a1,CHANGES,,,,,,,,,,0.9998690485954284,0.9879429237486084,Minor,Minor,YES
16b101edb6c10a984b0f2960feeeca5a458845a1,setup.py,100.0,100.0,0.0,1.0,1.0,0.0,79.0,79.0,0.0,0.9999989867210388,0.9945739983508808,Minor,Minor,YES
16e4d5a6553ff9c89a61c44ddec7da21126b631a,app.py,,,,,,,,,,0.999992311000824,1.0000000000000004,Minor,Minor,YES
16e4d5a6553ff9c89a61c44ddec7da21126b631a,logging.py,100.0,100.0,0.0,1.0,1.0,0.0,42.0,42.0,0.0,0.9999238848686218,1.0000000000000004,Minor,Minor,YES
16e4d5a6553ff9c89a61c44ddec7da21126b631a,module.py,62.86297322714497,62.86297322714497,0.0,19.0,19.0,0.0,204.0,204.0,0.0,0.9999870657920836,0.9985505133178144,Minor,Minor,YES
16e4d5a6553ff9c89a61c44ddec7da21126b631a,packages.rst,,,,,,,,,,1.0,0.9984679010829746,Minor,Minor,YES
16e4d5a6553ff9c89a61c44ddec7da21126b631a,session.py,100.0,100.0,0.0,7.0,7.0,0.0,43.0,43.0,0.0,0.9999383091926576,0.9836406753553958,Minor,Minor,YES
16e4d5a6553ff9c89a61c44ddec7da21126b631a,templating.py,80.4607343795051,80.4607343795051,0.0,19.0,19.0,0.0,88.0,88.0,0.0,1.0000001192092896,0.9959200047368988,Minor,Minor,YES
174f32250ec54950badbaf3878d9d6acc8328ddd,signals.rst,,,,,,,,,,0.9999998807907104,0.9811643643989258,Minor,Minor,YES
1759d8e4d80df3c3dc709c9bace2eb07d5685596,CHANGES,,,,,,,,,,0.9998265504837036,0.9908393396350116,Minor,Minor,YES
1759d8e4d80df3c3dc709c9bace2eb07d5685596,helpers.py,41.16621454625526,40.54556489252525,-0.6206496537300126,29.0,29.0,0.0,298.0,307.0,9.0,1.0,0.9705134498538166,Minor,Minor,YES
